y_relaxed,mp_volume,mp_density,mp_energy_per_atom,mp_formation_energy_per_atom,mp_band_gap,mp_efermi,mp_spacegroup_number,MagpieData mean NUnfilled,MagpieData range NUnfilled,MagpieData std_dev NUnfilled,MagpieData mean ElectronAffinity,MagpieData range ElectronAffinity,MagpieData std_dev ElectronAffinity,MagpieData mean Electronegativity,MagpieData range Electronegativity,MagpieData std_dev Electronegativity,DemlData mean heat_fusion,DemlData std_dev heat_fusion,DemlData mean boiling_point,DemlData std_dev boiling_point,DemlData mean GGAU_Etot,DemlData std_dev GGAU_Etot,DemlData mean FERE correction,DemlData std_dev FERE correction,PymatgenData mean row,PymatgenData std_dev row,PymatgenData mean block,PymatgenData std_dev block,transition metal fraction,band center,density,vpa,packing fraction,en_mean,en_max,en_min,en_range,en_std,en_weighted_mean,en_diff_mean,en_diff_max,en_diff_min,en_diff_weighted_mean,en_diff_std,n_atoms
-135.37888628,354.20745990688965,4.215406485026651,-4.569212344999999,-1.705382088965517,1.2488000000000001,0.76115725,96,1.1428571428571428,2.0,1.0307764064044151,75.51428571428572,141.0,74.39606844450854,2.2114285714285713,2.51,1.3589839954907488,2938.0,3661.5809768459308,706.0857142857143,660.1104566661552,-2.8528571428571428,2.290349318335524,0.2688478220649754,0.13031859568806542,2.857142857142857,1.0307764064044151,2.0,0.9354143466934853,0.0,4.9845468868930904,4.215406490916149,12.650266425246059,0.8151649253294402,2.0066666666666664,3.44,0.93,2.51,1.0552830057488,2.2114285714285713,2.15,2.51,1.79,2.15,0.3599999999999999,28
-193.57204912,47.397148259900405,5.70421780686615,-4.894751419999999,-1.7908991124999991,0.7227,0.8923141,186,1.0,2.0,1.4142135623730951,70.5,141.0,99.7020561473032,2.545,1.79,1.26572113832392,3786.0,5040.2571362977105,635.1,770.6049701370995,-3.13,2.630437226013957,0.33000000000000024,0.14142135623730923,3.0,1.4142135623730951,2.5,0.7071067811865476,0.0,5.951264188702443,5.7042178148357205,11.849287064975101,0.4730568735005466,2.545,3.44,1.65,1.79,0.895,2.545,1.79,1.79,1.79,1.79,0.0,4
-318.34844735,94.53809659793289,5.313385853159397,-6.7230247174999995,-1.724905211666666,0.0,4.0943811,10,2.375,7.0,2.8237712744707766,115.85000000000001,133.4,54.80618482194179,2.625,1.9,1.0673134004297153,7361.0,9528.268943130834,1690.1,2081.22636316592,-3.9525,1.9471950136164153,0.1431842228703592,0.11267941110039618,3.0,1.2977713690461004,2.5,0.6488856845230502,0.5,5.624578180753075,5.313385860582922,11.817262074741611,0.4869057111964292,2.2933333333333334,3.44,1.54,1.9,0.8240280469876144,2.625,1.72,1.9,1.54,1.63,0.17999999999999994,8
-654.6086745,103.48547026309927,5.97066705202391,-6.111723113,-1.9663922169999992,2.1201,2.24983274,148,2.0,4.0,1.6903085094570331,108.4,141.0,73.31731426769922,2.796,1.79,1.0649144834881612,7963.2,16348.302454470835,908.7199999999999,1564.6310528135928,-4.106,1.9292041290201956,0.25451214263384087,0.12391330128987314,2.8,1.3093073414159542,2.2,0.5345224838248488,0.0,6.20428525102762,5.970667060365747,10.348547026309927,0.4097495342606824,2.3666666666666667,3.44,1.65,1.79,0.7730602966277742,2.796,1.075,1.79,0.3599999999999999,1.4325,0.7150000000000001,10
-507.21033687,84.98847683834407,5.6148992124359385,-8.190510495,-1.481519387499999,1.8157,4.16044822,12,3.0,2.0,1.4142135623730951,78.35,125.3,88.6004796826744,2.635,1.6099999999999999,1.1384419177103413,7011.0,9601.095874950943,1612.1,2152.2916205756133,-5.495,0.7141778489984129,0.038932841945483965,0.27020976624478094,3.0,1.4142135623730951,2.5,0.7071067811865476,0.5,5.5143572001933565,5.614899220280719,10.623559604793007,0.5835529458776588,2.635,3.44,1.83,1.6099999999999999,0.8049999999999999,2.635,1.6099999999999999,1.6099999999999999,1.6099999999999999,1.6099999999999999,0.0,8
-417.04405194,248.858487577255,4.121739039793437,-6.521447505555555,-1.427935919179836,1.5967,0.39565042,14,2.3333333333333335,3.0,1.3416407864998738,137.33333333333334,195.0,75.88280437622215,3.032222222222222,1.89,0.907438703164021,2814.6666666666665,6029.07769065883,532.3555555555555,1037.201821247919,-4.874444444444445,1.3715301673678197,0.13482468601653372,0.1922735066725777,2.6666666666666665,1.3416407864998738,2.111111111111111,0.4472135954999579,0.1111111111111111,6.597223444178881,4.1217390455520695,13.825471532069722,0.23840026773076964,2.513333333333333,3.44,1.55,1.89,0.772024754928378,3.032222222222222,1.4449999999999998,1.89,0.9999999999999998,1.6675,0.44500000000000006,18
-405.81551659,596.8276909170065,5.026122832858722,-9.526285125749999,-3.953871922749999,4.097300000000001,1.5409672300000001,206,4.8,7.0,4.949747468305833,96.44,111.4,78.7716954241814,2.552,2.2199999999999998,1.5697770542341356,4693.2,7904.039600103229,1497.72,2488.167341639223,-5.186,0.34648232278140845,0.40495147377548124,0.30927343371305727,3.2,2.121320343559643,2.4,0.7071067811865476,0.0,5.393348497105174,5.026122839880902,14.920692272925162,0.6912867587908417,2.33,3.44,1.22,2.2199999999999998,1.11,2.552,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998,0.0,40
-799.56189858,172.94002035294054,7.618115266071504,-6.555921816153841,-1.8014381423076862,1.1236,3.15412685,166,1.6923076923076923,2.0,0.9780192938436516,134.51076923076923,202.93,84.30042677441097,2.796923076923077,2.44,1.222001209705514,6065.846153846154,11074.391925597502,1271.5076923076924,2242.9413481641354,-4.180000000000001,1.535265874155948,0.08628622118264434,0.3863696685965613,3.230769230769231,2.265046309153236,2.076923076923077,0.8340576562282991,0.23076923076923078,6.123582135231503,7.61811527671505,13.303078488687733,0.5031470584149484,2.2399999999999998,3.44,1.0,2.44,0.9965273035229223,2.796923076923077,1.8,2.44,1.1600000000000001,1.6720000000000002,0.6399999999999999,13
-501.66829966,318.38120756608186,4.147474486516418,-6.633664460416667,-1.340701675807292,0.9489000000000001,1.5189896200000002,63,2.3333333333333335,2.0,1.0540925533894596,129.11666666666667,179.3,76.96061402503953,3.0233333333333334,1.6099999999999999,0.8836540298354578,3348.0,7130.743579739774,742.1333333333333,1577.7296825220444,-4.906666666666667,1.0421985308844846,0.11631094731516156,0.22983721148228808,2.6666666666666665,1.3333333333333333,2.1666666666666665,0.5270462766947298,0.16666666666666666,6.518781110680763,4.147474492311007,13.265883648586744,0.2699126814149636,2.606666666666667,3.44,1.83,1.6099999999999999,0.6584999789082928,3.0233333333333334,1.1649999999999998,1.6099999999999999,0.7199999999999998,1.432,0.44500000000000006,24
-478.60546739,114.30716121628458,4.986096108562165,-7.85724884375,-2.54689945125,0.0,4.09160333,123,2.5,6.0,2.7568097504180447,87.8325,135.97,72.28720128764151,2.3725,2.49,1.3871229217340473,7236.0,10486.367988965483,1194.85,1511.5246594085058,-4.737500000000001,2.529116446508543,0.2600323513549119,0.20258520749165704,3.25,1.6431676725154984,2.0,0.8944271909999159,0.25,4.964101047928478,4.986096115528422,14.288395152035573,0.8190898773194876,2.0166666666666666,3.44,0.95,2.49,1.0473564605976111,2.3725,2.1350000000000002,2.49,1.78,2.1350000000000002,0.3550000000000001,8
-283.9754845,282.50599379120706,3.889672338046201,-6.856579260714286,-2.1996417928571432,4.5041,-1.150649169999999,12,2.2857142857142856,5.0,2.0873770280289223,104.24285714285715,94.1,57.067541437443104,2.5085714285714285,2.62,1.5243265491919469,5895.428571428572,16297.981391220552,1027.8285714285714,2157.0992764755706,-4.179714285714286,2.897775156416187,0.17932684332791873,0.2257855475863874,3.2857142857142856,1.9639610121239315,1.8571428571428572,0.8451542547285167,0.14285714285714285,4.910581077201665,3.8896723434806044,20.17899955651479,0.8857324048519415,2.14,3.44,0.82,2.62,1.0697040089046441,2.5085714285714285,1.95,2.62,1.2799999999999998,2.1733333333333333,0.6700000000000002,14
