y_relaxed,mp_volume,mp_formation_energy_per_atom,mp_band_gap,mp_efermi,MagpieData mean NUnfilled,MagpieData range NUnfilled,MagpieData std_dev NUnfilled,MagpieData mean ElectronAffinity,MagpieData range ElectronAffinity,MagpieData std_dev ElectronAffinity,MagpieData mean Electronegativity,MagpieData range Electronegativity,MagpieData std_dev Electronegativity,DemlData mean heat_fusion,DemlData std_dev heat_fusion,DemlData mean boiling_point,DemlData std_dev boiling_point,DemlData mean GGAU_Etot,DemlData std_dev GGAU_Etot,DemlData mean FERE correction,DemlData std_dev FERE correction,PymatgenData mean row,PymatgenData std_dev row,PymatgenData mean block,PymatgenData std_dev block,transition metal fraction,band center,density,vpa,packing fraction
-349.90282026,354.20745990688965,-1.705382088965517,1.2488000000000001,0.76115725,1.1428571428571428,2.0,1.0307764064044151,75.51428571428572,141.0,74.39606844450854,2.2114285714285713,2.51,1.3589839954907488,2938.0,3661.5809768459308,706.0857142857143,660.1104566661552,-2.8528571428571428,2.290349318335524,0.2688478220649754,0.13031859568806542,2.857142857142857,1.0307764064044151,2.0,0.9354143466934853,0.0,4.9845468868930904,4.215406490916149,12.650266425246059,0.8151649253294402
-295.77080379,47.9865802322794,-1.6847351029166662,1.6634,2.5670638,2.75,5.0,2.4289915602982237,117.975,76.7,39.99723740460084,2.6174999999999997,1.78,1.0473729039840587,8061.0,10735.35624001365,1389.85,1659.6265833011955,-4.495,3.0085411747223936,0.10264393483640608,0.1810148168162386,3.25,1.6431676725154984,2.5,0.6324555320336759,0.5,5.534187501655151,6.639276478797563,11.99664505806985,0.6347791866342737
-618.84329307,341.11013077776954,-2.288425597777783,2.012899999999999,2.97320869,1.7777777777777777,3.0,1.3385315336840844,101.69999999999999,127.05,66.1575888504108,2.557777777777778,2.55,1.3715608505154508,4323.333333333333,6087.5721761634995,934.5555555555555,1233.4531878700004,-4.1033333333333335,1.5839862688798791,0.17448898334602272,0.38135738020247445,3.7777777777777777,2.581988897471611,1.7777777777777777,0.5400617248673216,0.0,5.236739736589251,7.522216218459005,18.950562820987198,0.7158860876009174
-349.40553097,454.27125141184564,-1.687838196727276,2.6155,0.96954134,1.8181818181818181,2.0,0.9032106474595007,98.27272727272727,92.6,52.68455281449353,2.229090909090909,2.62,1.491078733492529,2930.0,4889.071217360313,750.2727272727273,838.5219389528595,-3.399090909090909,2.252058123022957,0.14540283931683992,0.2811409871244363,3.4545454545454546,1.8918106058538346,1.6363636363636365,0.606976978666884,0.0,4.468609665606196,4.783817584361171,20.648693245992984,0.9564656117060036
-370.70607851,530.2832053108352,-1.5650850475757592,0.0,4.2287404,2.303030303030303,3.0,0.8869975794117778,118.61818181818182,141.0,44.816596846940264,2.869393939393939,1.79,1.0051894758466888,4320.909090909091,7242.151157104699,758.4242424242424,1182.9421247838945,-4.53909090909091,1.0305563174952703,0.03413321382210394,0.3874211785083333,3.515151515151515,2.700762419587999,2.0303030303030303,0.24253562503633297,0.0,5.963991192071867,9.059702727697806,16.06918803972228,0.441818602180898
-659.35986517,911.9685842080944,-2.909401789781249,3.999399999999999,1.32309697,2.5,4.0,1.8973665961010275,93.225,98.5,60.4887014243156,2.3275,2.62,1.4508859362472295,3368.5,5463.70932608974,1001.1,1395.3860025097,-3.7,2.0193266204356344,0.36375199311231277,0.26120285981430447,2.75,1.0488088481701516,1.75,0.5477225575051662,0.0,4.585882387917681,2.8573512560318233,14.249509128251475,0.957805385546914
-346.39861209,49.523897122439884,-2.946253523,0.0,8.6510505,3.8,6.0,3.2071349029490928,101.32000000000001,99.9,64.94433880529651,2.652,2.11,1.2950841119953782,6473.2,11118.296709221502,1548.92,2517.441323475655,-5.062,1.2143016805673008,0.4270588747777377,0.3225210492369043,2.8,1.558387444947959,2.2,0.5345224838248488,0.0,5.462178162465365,5.572820746790818,9.904779424487977,0.534976033484835
-499.1869332,147.4242919480222,-2.594193788125,3.2945,5.06981207,1.25,2.0,1.2565617248750864,84.5,141.0,85.77326291787521,2.45,2.13,1.3067275317009521,5523.5,7664.47331249152,954.475,1335.2127332967937,-3.52875,2.0734455179216726,0.3314017565663999,0.2280714238479636,2.625,0.9032106474595007,1.75,0.8583950752789521,0.125,5.4641681483785725,4.406484180092723,9.214018246751387,0.7642785258261473
-169.86094019,263.4501234018471,-2.047858012,0.0,2.49640627,1.8,3.0,1.3093073414159542,100.13,127.05,70.11523168531724,2.618,2.55,1.4088597212943927,4973.2,8513.104620860377,1122.72,1747.8922130873598,-4.3100000000000005,1.5999107117943447,0.22423042553718883,0.27055054604187595,3.2,2.138089935299395,2.0,0.8451542547285166,0.2,5.47143800592749,6.158290648291261,13.172506170092356,0.8297600760040287
-244.03318215,51.04811002645878,-0.724300867916666,0.0,2.76508001,1.5,1.0,0.6324555320336759,131.5,22.599999999999994,12.440578764671681,2.6775,1.54,0.964587994949139,6211.0,7618.201467538122,1453.85,1758.4968342308723,-3.18,2.3643688375547502,0.10010244057153503,0.18188593143642273,3.25,1.6431676725154984,2.5,0.6324555320336759,0.5,5.797752442042944,6.616801943326625,12.762027506614695,0.5734362492989785
-644.42072327,112.58150624819807,-2.010695488333333,3.734,3.2989026,1.3333333333333333,2.0,1.4142135623730951,94.0,141.0,99.7020561473032,2.73,2.13,1.5061374439273463,3048.0,5994.85129089955,514.4666666666667,900.0055110942377,-3.84,2.439518395093589,0.33666666666666695,0.22627416997969493,2.3333333333333335,0.7071067811865476,1.6666666666666667,0.7071067811865476,0.0,6.0124027754961915,3.321847885834422,9.38179218734984,0.5665841519109013
-519.09201264,96.21024924019014,-1.582355479791656,0.583299999999999,2.52557321,2.5,4.0,1.8973665961010275,109.125,112.1,59.12531606680847,2.6550000000000002,1.63,0.9944043443187485,4333.5,5793.782149856862,1273.1,1496.3811867301727,-3.43,2.229403507667466,0.2507476036460111,0.34847886601189787,3.25,1.6431676725154984,2.25,0.5477225575051662,0.25,5.309652613368046,7.23482968194117,12.026281155023767,0.58558447462001
-835.2684987,198.37422448022454,-2.034961632307693,0.0,2.9184442600000002,3.076923076923077,6.0,2.796101181678127,109.07461538461538,138.63,60.85357041142436,2.8584615384615386,2.44,1.0946149177595825,11870.461538461539,22495.405712763175,1702.0461538461539,3026.462917484549,-5.4893846153846155,2.067368287549085,0.09166153846153889,0.30220631423521965,3.076923076923077,1.9188064472004938,2.230769230769231,0.7977240352174656,0.3076923076923077,5.752955783037371,4.619252276993737,15.259555729248042,0.41712806347329506
-319.12588075,169.88436818058463,-1.694015584375,2.1259,1.8580269500000002,2.0,2.0,0.8944271909999159,105.025,94.1,49.63082711380096,2.4299999999999997,2.62,1.385698379879258,3383.5,5582.55780086512,744.6,915.7828214156456,-3.75,2.0933609340006325,0.10491090574795844,0.3154604043773557,3.75,2.2583179581272432,1.75,0.5477225575051662,0.0,4.832932732816633,6.381728975269885,21.23554602257308,0.863274691032996
-428.71662225,190.4712082488674,-2.355785092916666,1.34,1.44127791,3.25,6.0,2.7224556389190906,93.0,133.4,85.07953372476561,2.8,1.9,1.1393909621836933,5926.25,10288.233227390234,1284.875,2122.759695191477,-5.315,0.6003136435133181,0.11236838845481534,0.2236638115054944,2.75,1.3284223283101428,2.375,0.6642111641550714,0.375,5.848481286570373,4.176891402886628,11.904450515554213,0.4095738641612027
-684.22272825,384.2771400263827,-2.030413166666667,0.0,4.52037488,1.8,3.0,1.3093073414159542,115.806,145.97,74.19605476612044,2.694,2.49,1.3302953485169051,6933.2,13360.409809796789,1325.3200000000002,2396.4608285672316,-4.484,1.9164997856956385,0.20159333725006318,0.302408444771805,3.4,2.32992949004287,2.0,0.8451542547285166,0.2,5.803224051849351,8.4998523367249,12.809238000879425,0.7265171025458249
